['02411', '647', '785', '640', '383', 'Oz', 'Oz', 'Oz']
['02237', '375', '378', '370', '474', '391', '472', 'Oz']
['02414', 'O', '90', '79', '191', '82', 'O', 'O']
['02241', '912', '874', '912', '912', '874', 'O', 'O']
['02426', 'O', '371', '369', '408', '350', 'Oz', '370']
['02244', '46', '76', '76', '49', 'O', 'O', '136']
['02428', '190', '79', '91', '42', '195', '173', 'O']
['02246', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02429', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02247', '90', '71', '40', '187', '170', 'Oz', 'Oz']
['02434', '206', '206', '206', '206', 'O', 'O', '205']
['02248', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02437', '475', '81', '110', '72', '174', '440', 'O']
['02249', '186', '186', '186', '186', '186', 'O', 'O']
['02441', '111', '111', '108', '108', '206', 'Oz', 'Oz']
['02250', '50', '49', '143', '83', '47', 'O', '90']
['02449', '775', '775', '775', '775', '775', 'Oz', '773']
['02252', 'O', '471', '492', '393', '490', '493', 'O']
['02450', '105', '265', '106', '105', '80', 'O', '94']
['02253', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02455', '47', '105', 'O', '52', '50', '177', '70']
['02322', '89', '191', 'O', '44', '185', '40', '89']
['02457', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02325', '573', '573', '573', '573', '573', 'O', 'O']
['02458', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02326', '770', '642', 'O', 'O', '690', '740', '689']
['02462', '641', '773', '743', '702', '372', 'O', '736']
['02328', '390', '487', '389', '350', '390', 'O', 'O']
['02466', '403', 'Oz', 'Oz', '399', '403', '394', '395']
['02329', '398', '377', 'O', '439', '442', '341', '491']
['02470', '505', '505', '505', 'Oz', '505', 'Oz', 'Oz']
['02334', 'O', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02472', '110', '77', '175', '173', '139', 'O', 'O']
['02335', '572', '694', '770', 'O', '700', '370', '470']
['02473', '697', 'O', '794', '641', '679', '694', 'O']
['02337', '874', '912', '874', '913', 'O', '874', '912']
['02477', '787', 'O', '689', '791', '778', '644', 'O']
['02350', '470', '344', '487', '377', '443', 'O', '346']
['02484', '350', '347', '340', '485', 'O', '349', '475']
['02354', '493', '78', '95', 'O', '105', '49', '375']
['02486', '391', '403', 'O', '391', '406', '398', '393']
['02488', '270', 'O', '51', '48', '95', '42', 'O']
['02585', '870', '707', '698', '694', '692', 'O', 'O']
['02490', 'I-PN', 'I-PN', 'I-PN', 'I-PN', 'I-PN', 'O', 'O']
['02586', 'O', '343', '374', '394', '408', '374', 'O']
['02493', '44', '101', 'O', 'Oz', '143', '41', '42']
['02587', '369', '369', 'O', '369', '369', '369', '369']
['02494', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02588', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02497', '401', '401', '401', '401', '401', 'Oz', 'Oz']
['02589', '373', '381', '381', 'Oz', 'Oz', '391', '478']
['02500', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02591', '794', '787', '793', 'O', '680', '791', '806']
['02507', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02593', '490', '490', '490', 'O', 'O', '571', '394']
['02513', '107', '107', '107', '107', '107', 'O', 'O']
['02601', '174', '174', '174', '176', 'O', '172', '178']
['02514', '646', '647', 'O', '711', '703', '790', 'O']
['02609', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02515', '649', '674', '682', '785', '805', 'O', 'O']
['02610', '177', '188', 'O', 'O', '177', '175', '176']
['02516', 'Oz', '489', '489', '341', '405', '270', 'O']
['02611', '491', 'Oz', '377', '411', '470', '486', '345']
['02517', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02614', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02521', '679', '646', '741', 'O', '677', '805', '690']
['02616', '102', '102', '102', '102', '102', 'O', 'O']
['02522', '48', '75', '93', '174', '83', '76', 'O']
['02621', '703', '870', '806', '806', '786', 'O', 'O']
['02523', 'I-GO', '404', '406', '406', '489', '346', 'O']
['02626', 'Oz', '170', '49', '106', '189', '77', 'O']
['02526', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02634', '700', '703', '703', '705', '705', 'Oz', '695']
['02528', '75', 'O', 'O', '110', '78', '50', '471']
['02635', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02530', '788', '641', 'O', '652', '696', '675', 'O']
['02637', '185', '189', '77', '190', '41', '89', 'O']
['02534', '406', '373', '572', '378', 'O', '439', '474']
['02641', 'Oz', '94', '44', '195', '193', '186', '74']
['02536', '265', '96', '96', '96', 'O', '97', '92']
['02643', '478', '478', '478', '478', '478', 'O', 'O']
['02537', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02647', '785', '682', '702', '742', '378', 'Oz', '694']
['02545', '405', '405', '567', '347', '439', '478', 'O']
['02650', '41', '41', '265', '111', 'O', '98', '188']
['02546', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02654', 'O', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02547', '192', '192', '192', '192', '192', '188', 'O']
['02655', 'O', 'Oz', '495', '495', '495', 'Oz', '348']
['02549', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02657', '351', 'Oz', '708', '707', '572', 'Oz', 'O']
['02554', 'I-GO', '806', '791', '709', '689', '690', 'O']
['02658', 'O', '473', '493', '395', '376', '489', '392']
['02568', '690', '650', '642', '700', '393', 'Oz', 'Oz']
['02661', '96', '104', '104', '103', '103', 'O', 'O']
['02569', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02662', '98', '92', 'Oz', '98', '98', '92', 'O']
['02573', '393', '410', 'O', 'O', '373', '488', '377']
['02663', '739', '786', 'Oz', '689', '711', '869', '646']
['02574', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02665', 'O', '390', '390', '342', '342', '494', '492']
['02575', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02667', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02576', '496', '496', 'Oz', '496', '496', '400', '398']
['02671', '702', '705', 'O', '703', '870', '806', '648']
['02579', 'O', '185', '185', '185', 'O', 'O', '185']
['02674', 'O', '43', '46', '69', '77', '205', 'O']
['02580', 'O', '374', '442', '396', '411', '371', 'O']
['02676', '399', '399', '403', '403', 'O', '396', '396']
['02584', '711', '711', '474', 'O', '642', '671', '640']
['02677', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02682', '170', 'O', '90', '90', '265', 'O', 'O']
['02752', 'O', '644', '870', '787', '702', '373', 'O']
['02683', '188', '196', 'Oz', '196', '196', '193', '96']
['02753', '644', '669', '649', '443', '647', 'O', 'O']
['02690', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02754', '77', '178', 'O', 'O', '42', '70', '73']
['02691', '793', '696', '697', '773', 'O', '786', '669']
['02755', '674', 'Oz', 'O', '647', '776', '645', '785']
['02696', '101', '103', '103', 'O', '101', '94', '95']
['02756', 'O', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02697', '395', '474', 'O', '370', '375', '347', 'O']
['02757', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['02698', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02758', '171', '42', '71', '104', '109', '72', 'O']
['02701', '51', '72', 'O', 'O', '51', '141', '271']
['02761', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-GO', 'Og', 'Og']
['02703', '95', '173', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02762', '106', '190', '75', '170', 'O', 'Oz', '186']
['02706', '396', '45', '45', '177', '171', '47', 'O']
['02764', '80', 'O', '347', '51', '270', 'O', 'O']
['02708', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02766', '472', 'O', '395', '442', '567', '343', '343']
['02710', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02767', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02711', 'O', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02768', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02712', '389', '491', 'Oz', '505', '491', '375', '472']
['02769', '773', '677', '378', '786', '794', 'O', '672']
['02713', 'Oz', '493', '371', '371', '475', '390', '490']
['02770', '669', '372', 'O', '381', '643', '678', '644']
['02714', '345', 'Oz', '773', '692', '806', 'O', 'O']
['02771', '52', '50', '142', '74', '46', '78', 'Oz']
['02719', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02772', 'O', 'O', '188', '81', '76', '96', 'O']
['02721', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02773', '193', 'O', '344', '472', '81', '189', '170']
['02722', '104', '44', '187', '79', '188', 'O', 'O']
['02774', 'I-GO', 'I-GO', '472', '392', '377', '378', '488']
['02731', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02775', '485', '495', '398', '376', '374', '377', 'O']
['02733', '439', 'O', '343', '344', '493', '397', '342']
['02776', '78', 'O', '72', '188', '73', '91', '487']
['02735', '805', '805', '805', '805', 'O', 'O', '805']
['02777', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02737', '677', '692', '677', '680', '652', 'O', '671']
['02778', 'O', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02738', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02780', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02740', '83', '171', 'O', '78', '48', '476', '371']
['02836', '40', '69', '193', '189', '173', 'Oz', 'Oz']
['02741', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['04811', '705', '698', '692', '776', '644', 'O', 'O']
